id_no,title,organization,skills,ratings,review_counts,metadata
30,Snowflake Data Engineering,Snowflake,"application development,artificial intelligence machine learning aiml,cicd,cloud application,data analysis,data engineering,data importexport,data integration,data lake,data manipulation,data pipeline,data presentation,data transformation,data warehouse,database,database management,devops,extract,load,rolebased access control rbac,sql,transform",0,0,Beginner ? Professional Certificate ? 1 - 3 Months
31,Applied Software Engineering Fundamentals,IBM,"application deployment,bash scripting language,data structure,design patterns,file management,flask web framework,git version control system,github,jupyter,linux,linux command,python,scrum software development,sdlc,shell script,software architecture,software engineering,unit testing,unix shell,version control",0,0,Beginner ? Specialization ? 3 - 6 Months
32,Google Digital Marketing & E-commerce,Google,"ab testing,applicant tracking system,campaign management,customer experience strategy cx,customer relationship management,data storytelling,ecommerce,email marketing,google ad,interviewing skill,loyalty program,marketing,medium planning,order fulfillment,search engine marketing,search engine optimization,social medium management,social medium marketing,social medium strategy,spreadsheet software",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
33,Engineering Project Management,Rice University,"communication planning,cost management,earned value management,organizational structure,planning,procurement,project documentation,project estimation,project management,project risk management,project schedule,project scoping,qa testing,requirement management,risk management,scheduling,scope management,stakeholder management,team management,work breakdown structure",0,0,Beginner ? Specialization ? 3 - 6 Months
34,Google IT Support,Google,"applicant tracking system,application security,cloud infrastructure,computer hardware,computer networking,computer security,desktop support,file system,information system security,infrastructure,interviewing skill,microsoft window,network architecture,network security,network troubleshooting,package software management,professional development,system administration,tcpip,technical support",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
35,Software Design and Architecture,University of Alberta,"api design,code review,design patterns,java,microservices,model view controller,object oriented programming oop,oop,restful api,service oriented architecture,simple object access protocol soap,software architecture,software design pattern,software development,software system,software visualization,solution architecture,system architecture,unified modeling language,web service",0,0,Beginner ? Specialization ? 3 - 6 Months
36,Fundamentals of Flight mechanics,ISAE-SUPAERO,"algebra,applied mathematics,differential equation,energy utility,engineering analysis,engineering calculation,mathematical modeling,mechanic,mechanical engineering,physic,physical science,risk control,safety assurance,scientific visualization,simulation,system measurement,thermal management,vibration",0,0,Beginner ? Specialization ? 3 - 6 Months
37,Google Project Management:,Google,"agile project management,applicant tracking system,backlog,change management,continuous improvement process,interviewing skill,milestone project management,project closure,project control,project documentation,project management,project management life cycle,project scoping,quality assessment,quality management,requirement analysis,sprint retrospective,stakeholder management,team management",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
38,Financial Engineering and Risk Management,Columbia University,"actuarial science,applied mathematics,asset management,capital market,credit risk,derivative,financial analysis,financial market,financial service,financial system,financial trading,investment management,market liquidity,mathematical modeling,mortgage loan,portfolio management,regression analysis,risk modeling,security finance,statistical method",0,0,Intermediate ? Specialization ? 3 - 6 Months
39,IBM Full Stack Software Developer,IBM,"application deployment,cascading style sheet cs,cloud computing,cloud computing architecture,cloud service,django web framework,engineering software,flask web framework,fullstack web development,git version control system,istio,jupyter,kubernetes,node,objectrelational mapping,prompt engineering,react redux,sdlc,server side,software architecture",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
40,Software Engineering,The Hong Kong University of Science and Technology,"acceptance testing,configuration management,data modeling,debugging,design patterns,functional requirement,oop,process driven development,project management,qa testing,requirement analysis,sdlc,software architecture,software design pattern,software development methodology,software engineering,software quality assurance,system design,unified modeling language",0,0,Intermediate ? Specialization ? 3 - 6 Months
41,Financial Markets,Yale University,"banking,behavioral economics,business risk management,capital market,corporate finance,derivative,enterprise risk management erm,finance,financial market,financial policy,financial regulation,financial service,governance,insurance,investment,investment banking,market dynamic,risk management,security finance,underwriting",0,0,Beginner ? Course ? 1 - 3 Months
42,Introduction to Systems Engineering,University of Colorado Boulder,"contract management,cost management,design review,engineering management,failure analysis,model based system engineering,organizational leadership,program management,project risk management,project scoping,requirement analysis,requirement management,risk management,root cause analysis,scope management,system architecture,system design,system engineering,system thinking,test planning",0,0,Beginner ? Specialization ? 3 - 6 Months
43,"Modern Robotics:  Mechanics, Planning, and Control",Northwestern University,"applied mathematics,artificial intelligence,automation,automation engineering,computational logic,control system,engineering,engineering analysis,engineering calculation,machine control,mathematical modeling,mathematical software,mechanic,mechanical engineering,numerical analysis,robotic process automation,simulation simulation software,torque physic,vibration,virtual environment",0,0,Intermediate ? Specialization ? 3 - 6 Months
44,Generative AI for Everyone,DeepLearning.AI,"artificial intelligence,artificial intelligence machine learning aiml,automation,business process automation,chatgpt,cloud application,ethical standard conduct,generative ai,large language modeling,openai,prompt engineering",0,0,Beginner ? Course ? 1 - 4 Weeks
45,"Data Engineering, Big Data, and Machine Learning on GCP",Google Cloud,"apache airflow,big data,cloud engineering,cloud infrastructure,cloud storage,dashboard,data infrastructure,data integration,data lake,data migration,data pipeline,data processing,data warehouse,dataflow,extract,google cloud platform,load,mlops machine learning operation,real time data,tensorflow,transform,unstructured data",0,0,Intermediate ? Specialization ? 3 - 6 Months
46,An Introduction to Programming the Internet of Things (IOT),"University of California, Irvine","application programming interface api,basic electrical system,c programming language,debugging,electronic hardware,embedded software,embedded system,functional requirement,general networking,hardware design,integrated development environment,internet thing,linux,operating system,python,requirement analysis,system design,system design implementation,tcpip,test planning",0,0,Beginner ? Specialization ? 3 - 6 Months
47,AI For Everyone,DeepLearning.AI,"artificial intelligence,artificial intelligence machine learning aiml,artificial neural network,business ethic,data ethic,data science,deep learning,engineering management,machine learning,market opportunity,need assessment,strategic thinking,team building",0,0,Beginner ? Course ? 1 - 4 Weeks
48,"Python, Bash and SQL Essentials for Data Engineering",Duke University,"aws sagemaker,bash scripting language,big data,cloud engineering,data manipulation,data science,git version control system,json,jupyter,linux,linux administration,linux command,microservices,panda python package,python,shell script,sql,version control,web scraping",0,0,Beginner ? Specialization ? 3 - 6 Months
49,Prompt Engineering,Vanderbilt University,"artificial intelligence,brainstorming,chatgpt,creative thinking,data analysis,data ethic,data presentation,data validation,document management,generative ai,ideation,information management,ingenuity,large language modeling,microsoft excel,problem solving,productivity,prompt engineering,risk management framework,verification validation",0,0,Beginner ? Specialization ? 1 - 3 Months
50,"ChatGPT: Excel at Personal Automation with GPTs, AI & Zapier",Vanderbilt University,"agentic system,ai personalization,artificial intelligence,automation,brainstorming,chatgpt,creative thinking,expense management,expense report,generative ai,generative ai agent,google sheet,google workspace,ingenuity,large language modeling,personalized service,productivity,productivity software,prompt engineering,workflow management",0,0,Beginner ? Specialization ? 3 - 6 Months
51,Machine Design Part I,Georgia Institute of Technology,"engineering analysis,engineering calculation,engineering design process,engineering practice,failure analysis,mechanical design,mechanical engineering,problem solving,structural analysis,verification validation",0,0,Intermediate ? Course ? 1 - 3 Months
52,Music Production,Berklee,"active listening,constructive feedback,creativity,editing,file management,instrumental music,medium production,music,music performance,music theory,musical composition,peer review,performing art,postproduction,selfawareness,timeline",0,0,Beginner ? Specialization ? 3 - 6 Months
53,Design of Industrial Piping Systems,L&T EduTech,"blueprint reading,chemical engineering,civil engineering,construction,construction engineering,construction inspection,engineering analysis,engineering calculation,engineering documentation,engineering drawing,engineering practice,facility repair maintenance,failure analysis,hydraulics,mechanical design,mechanical engineering,process engineering,process flow diagram,technical standard,thermal management",0,0,Intermediate ? Specialization ? 3 - 6 Months
54,IBM Data Warehouse Engineer,IBM,"apache airflow,apache kafka,bash scripting language,dashboard,data pipeline,data store,data visualization,data warehouse,database administration,database architecture administration,database design,database management,extract,ibm cognos analytics,ibm db2,linux command,load,relational database,shell script,sql,transform",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
55,Engineering and Product Design Processes,Arizona State University,"design specification,engineering design process,engineering drawing,hardware design,ideation,product design,product development,prototyping,research design,user feedback",0,0,Beginner ? Course ? 1 - 4 Weeks
56,Technical Support Fundamentals,Google,"computer architecture,computer hardware,computer networking,customer support,desktop support,end user training support,hardware troubleshooting,help desk support,information technology,linux,microsoft window,software documentation,software installation,technical communication,technical documentation,technical support",0,0,Beginner ? Course ? 1 - 3 Months
57,Generative AI Leadership & Strategy,Vanderbilt University,"artificial intelligence,business leadership,business writing,chatgpt,creativity,data validation,generative ai,ideation,large language modeling,leadership,leadership management,meeting facilitation,organizational leadership,problem solving,productivity,prompt engineering,proposal writing,risk management,succession planning,verification validation",0,0,Beginner ? Specialization ? 1 - 3 Months
58,Introduction to Thermodynamics: Transferring Energy from Here to There,University of Michigan,"energy utility,engineering,engineering analysis,environmental science,hvac,mechanical engineering,physic,plant operation management,process analysis,thermal management",0,0,Beginner ? Course ? 1 - 3 Months
59,Applications in Engineering Mechanics,Georgia Institute of Technology,"engineering,engineering analysis,mechanic,mechanical engineering,structural analysis,structural engineering",0,0,Mixed ? Course ? 1 - 3 Months
60,Introduction to Electronics,Georgia Institute of Technology,"basic electrical system,electronic component,electronics,electronics engineering,engineering analysis,schematic diagram,semiconductor",0,0,Mixed ? Course ? 1 - 3 Months
61,Preparing for Google Cloud Certification: Cloud Data Engineer,Google Cloud,"apache airflow,big data,cloud engineering,cloud infrastructure,cloud storage,dashboard,data analysis,data infrastructure,data lake,data maintenance,data pipeline,data processing,data storage,data warehouse,dataflow,extract,google cloud platform,load,mlops machine learning operation,real time data,tensorflow,transform",0,0,Intermediate ? Professional Certificate ? 3 - 6 Months
62,Introduction to the Internet of Things and Embedded Systems,"University of California, Irvine","computer hardware,embedded system,emerging technology,general networking,internet thing,network protocol,operating system,wireless network",0,0,Mixed ? Course ? 1 - 4 Weeks
63,Prompt Engineering for Law,Vanderbilt University,"ai personalization,artificial intelligence,brainstorming,chatgpt,creative thinking,data ethic,expense management,generative ai,ingenuity,innovation,large language modeling,law practice management software,legal research,legal support,legal writing,personalized service,productivity,productivity software,prompt engineering,travel arrangement",0,0,Beginner ? Specialization ? 1 - 3 Months
64,Feature Engineering,Google Cloud,"data modeling,data pipeline,data processing,data transformation,dataflow,feature engineering,kera neural network library,machine learning,mlops machine learning operation,real time data,tensorflow",0,0,Intermediate ? Course ? 1 - 3 Months
65,Mechanics of Materials I: Fundamentals of Stress & Strain and Axial Loading,Georgia Institute of Technology,"civil engineering,engineering analysis,engineering calculation,engineering design process,failure analysis,laboratory testing,mathematical modeling,mechanic,mechanical engineering,structural analysis",0,0,Mixed ? Course ? 1 - 3 Months
66,Foundations of Healthcare Systems Engineering,Johns Hopkins University,"enterprise architecture,health care,health system,health technology,healthcare industry knowledge,requirement analysis,solution design,system analysis,system engineering,system integration,system requirement,system testing",0,0,Mixed ? Course ? 1 - 4 Weeks
67,Python Project for Data Engineering,IBM,"application programming interface api,code review,data manipulation,data processing,data transformation,database,extract,integrated development environment,load,python,restful api,sql,style guide,transform,unit testing,web scraping",0,0,Intermediate ? Course ? 1 - 4 Weeks
68,Meta Database Engineer,Meta,"data modeling,data structure,database,database administration,database design,database development,database management,database management system,database system,extract,git version control system,github,load,mysql workbench,object oriented programming oop,relational database,sql,stored procedure,transform,unix command,version control",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
69,Introduction to Sustainability,University of Illinois Urbana-Champaign,"demography,economics,energy utility,environment,environmental policy,environmental resource management,environmental science,natural resource management,policy analysis,social science,socioeconomics,system thinking,trend analysis,water resource",0,0,Mixed ? Course ? 1 - 3 Months
70,IBM Data Analyst,IBM,"big data,dashboard,data analysis,data storytelling,data visualization,data visualization software,data wrangling,excel formula,exploratory data analysis,generative ai,ibm cognos analytics,interactive data visualization,jupyter,matplotlib,microsoft excel,plotly,predictive modeling,professional networking,python,sql",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
71,Fundamentals of Audio and Music Engineering: Part 1 Musical Sound & Electronics,University of Rochester,"basic electrical system,construction,electrical engineering,electrical system,electronic component,electronics,electronics engineering,equipment design,instrumental music,mechanical design,music,vibration",0,0,Intermediate ? Course ? 1 - 3 Months
72,Meta Full-Stack Developer,Meta,"api design,bootstrap frontend framework,database design,database management system,django web framework,git version control system,github,html cs,jest javascript testing framework,linux command,mobile development,object oriented programming oop,python,react,relational database,responsive web design,restful api,sql,unix command,version control",0,0,Beginner ? Specialization ? 3 - 6 Months
73,AI Agent Developer,Vanderbilt University,"agentic system,ai personalization,artificial intelligence,chatgpt,data presentation,data validation,document management,expense management,generative ai,generative ai agent,ideation,large language modeling,microsoft excel,openai,personalized service,productivity,prompt engineering,risk management framework,software development,verification validation",0,0,Beginner ? Specialization ? 3 - 6 Months
74,Flight mechanics - The basis,ISAE-SUPAERO,"algebra,applied mathematics,differential equation,energy utility,engineering analysis,engineering calculation,mechanic,mechanical engineering,physic,scientific visualization,simulation,system measurement",0,0,Beginner ? Course ? 1 - 4 Weeks
75,IBM AI Product Manager,IBM,"artificial intelligence,chatgpt,commercialization,competitive analysis,generative ai,innovation,new product development,openai,product development,product lifecycle management,product management,product planning,product roadmaps,product strategy,product testing,project management life cycle,prompt engineering,sales,stakeholder engagement,stakeholder management",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
76,Automotive Industrial Engineering,Starweaver,"business strategy,corporate strategy,corporate sustainability,industrial engineering,innovation,logistics management,manufacturing process,operating cost,operation management,operational efficiency,procurement,strategic planning,supply chain,supply chain management,technology strategy",0,0,Beginner ? Course ? 1 - 4 Weeks
77,Prompt Engineering for Educators,Vanderbilt University,"ai personalization,artificial intelligence,brainstorming,chatgpt,computer vision,creative problemsolving,data analysis,data capture,data storytelling,data synthesis,education software technology,game design,generative ai,image analysis,innovation,large language modeling,openai,organizational skill,productivity,prompt engineering",0,0,Beginner ? Specialization ? 1 - 3 Months
78,Foundations of Digital Marketing and E-commerce,Google,"branding,customer experience strategy cx,data storytelling,datadriven decisionmaking,ecommerce,marketing,marketing analytics,marketing channel,performance measurement,search engine marketing,search engine optimization,social medium marketing,target audience",0,0,Beginner ? Course ? 1 - 4 Weeks
79,Industrial Biotechnology,University of Manchester,"biochemistry,bioinformatics,biology,chemical engineering,environmental engineering,life science,manufacturing process,microbiology,molecular biology,pharmaceutical,process development,process engineering",0,0,Beginner ? Course ? 1 - 3 Months
80,DeepLearning.AI Data Engineering,Multiple educators,"amazon web service,apache airflow,apache hadoop,apache spark,data architecture,data engineering,data integration,data lake,data management,data modeling,data pipeline,data processing,data storage,data transformation,data warehouse,database system,extract,file system,load,query language,requirement analysis,transform",0,0,Intermediate ? Professional Certificate ? 3 - 6 Months
81,Optical Engineering,University of Colorado Boulder,"applied mathematics,computer display,computeraided design,design software,display device,electrical engineering,engineering,engineering analysis,engineering calculation,engineering design process,equipment design,hardware design,human factor,medical imaging,numerical analysis,performance tuning,physic,scientific,simulation simulation software,system design,system design implementation,technical instrument",0,0,Advanced ? Specialization ? 3 - 6 Months
82,Introduction to Financial Engineering and Risk Management,Columbia University,"actuarial science,applied mathematics,capital market,derivative,equity,finance,financial analysis,financial market,financial service,financial system,financial trading,future exchange,market liquidity,mathematical modeling,portfolio management,probability,risk management,risk modeling,security finance,security trading",0,0,Intermediate ? Course ? 1 - 3 Months
83,Fundamentals of Engineering Exam Review,Georgia Institute of Technology,"advanced mathematics,algebra,applied mathematics,calculus,civil engineering,differential equation,engineering,engineering analysis,engineering calculation,geometry,hydraulics,mechanic,mechanical engineering,probability,probability distribution,probability statistic,statistic,statistical method,structural analysis,structural engineering",0,0,Mixed ? Course ? 1 - 3 Months
84,Electric Power Systems,University at Buffalo,"basic electrical system,electric power system,electrical equipment,electrical power,electrical safety,electrical substation,electrical system,emerging technology,energy utility,environmental engineering,high voltage,low voltage,reliability",0,0,Beginner ? Course ? 1 - 4 Weeks
85,Key Technologies for Business,IBM,"big data,business,chatgpt,cloud computing,cloud computing architecture,cloud platform,cloud security,cloud service,cloud storage,computer science,data analysis,data governance,data literacy,data mining,data science,emerging technology,generative ai,infrastructure service iaa,nlp,software service",0,0,Beginner ? Specialization ? 3 - 6 Months
86,Materials Science: 10 Things Every Engineer Should Know,"University of California, Davis","chemistry,electrical engineering,electronics,electronics engineering,engineering,engineering analysis,failure analysis,manufacturing process,mechanical engineering,semiconductor,structural analysis,thermal management",0,0,Mixed ? Course ? 1 - 3 Months
87,ChatGPT for Project Management - Leveraging AI for Success,Vanderbilt University,"artificial intelligence,business metric,chatgpt,creative thinking,generative ai,key performance indicator kpis,large language modeling,milestone project management,productivity,project documentation,project implementation,project management,project risk management,project schedule,prompt engineering,risk analysis,taking meeting minute,timeline,workflow management",0,0,Beginner ? Specialization ? 1 - 3 Months
88,Supervised Machine Learning: Regression and Classification ,DeepLearning.AI,"artificial intelligence,classification regression tree cart,feature engineering,jupyter,machine learning,numpy,predictive modeling,python,regression analysis,scikit learn machine learning library,statistical analysis,supervised learning,unsupervised learning",0,0,Beginner ? Course ? 1 - 4 Weeks
89,Google IT Automation with Python,Google,"applicant tracking system,automation,bash scripting language,cicd,cloud computing,cloud service,configuration management,debugging,docker software,git version control system,github,infrastructure code iac,interviewing skill,programming principle,puppet configuration management tool,python,technical communication,unit testing,version control,web service",0,0,Advanced ? Professional Certificate ? 3 - 6 Months
90,BIM Fundamentals for Engineers,National Taiwan University,"3d modeling,building information modeling,civil engineering,computeraided design,construction,construction management,data modeling,engineering documentation,information management,mechanical engineering",0,0,Beginner ? Course ? 1 - 3 Months
91,Protecting the World: Introducing Corrosion Science and Engineering,University of Manchester,"chemical engineering,chemistry,civil engineering,electrical system,engineering,engineering calculation,engineering design process,environmental engineering,environmental issue,facility service,failure analysis,industrial design,laboratory testing,maintenance,repair",0,0,Intermediate ? Course ? 1 - 4 Weeks
92,IBM & Darden Digital Strategy,IBM,"apache hadoop,big data,business strategy,business transformation,chatgpt,cloud computing,cloud computing architecture,cloud platform,cloud security,cloud service,cloud storage,competitive analysis,data analysis,data science,digital transformation,generative ai,product lifecycle management,statistical analysis,strategic decisionmaking,strategic thinking",0,0,Beginner ? Specialization ? 3 - 6 Months
93,Generative AI Fundamentals,IBM,"artificial intelligence,artificial neural network,business ethic,business leadership,business transformation,chatgpt,content writing,data ethic,deep learning,generative ai,ibm cloud,large language modeling,leadership management,legal risk,openai,program development,prompt engineering,sales,strategic leadership,tensorflow",0,0,Beginner ? Specialization ? 3 - 6 Months
94,Material Processing,Georgia Institute of Technology,"chemical engineering,chemistry,engineering,manufacturing process,mechanical engineering,physical science,process engineering,semiconductor",0,0,Mixed ? Course ? 1 - 4 Weeks
95,Introduction to Data Engineering,DeepLearning.AI,"amazon web service,data architecture,data modeling,data pipeline,data processing,data transformation,data warehouse,performance tuning,requirement analysis,scalability,security control,system requirement",0,0,Intermediate ? Course ? 1 - 4 Weeks
96,Introduction to Systems Engineering,UNSW Sydney (The University of New South Wales),"concept operation,conceptual design,configuration management,design review,engineering design process,prototyping,requirement analysis,requirement elicitation,system architecture,system design,system design implementation,system development life cycle,system engineering,system integration,system requirement,verification validation",0,0,Mixed ? Course ? 1 - 3 Months
97,Protecting the World: Introducing Corrosion Science and Engineering,University of Manchester,"chemical engineering,chemistry,civil engineering,electrical system,engineering,engineering calculation,engineering design process,environmental engineering,environmental issue,facility service,failure analysis,industrial design,laboratory testing,maintenance,repair",0,0,Intermediate ? Course ? 1 - 4 Weeks
98,IBM & Darden Digital Strategy,IBM,"apache hadoop,big data,business strategy,business transformation,chatgpt,cloud computing,cloud computing architecture,cloud platform,cloud security,cloud service,cloud storage,competitive analysis,data analysis,data science,digital transformation,generative ai,product lifecycle management,statistical analysis,strategic decisionmaking,strategic thinking",0,0,Beginner ? Specialization ? 3 - 6 Months
99,Material Processing,Georgia Institute of Technology,"chemical engineering,chemistry,engineering,manufacturing process,mechanical engineering,physical science,process engineering,semiconductor",0,0,Mixed ? Course ? 1 - 4 Weeks
100,Introduction to Data Engineering,DeepLearning.AI,"amazon web service,data architecture,data modeling,data pipeline,data processing,data transformation,data warehouse,performance tuning,requirement analysis,scalability,security control,system requirement",0,0,Intermediate ? Course ? 1 - 4 Weeks
