id_no,title,organization,skills,ratings,review_counts,metadata
11,"Introduction to Web Development with HTML, CSS, JavaScript",Johns Hopkins University," Cascading Style Sheets (CSS), HTML and CSS, Javascript, Ajax, Responsive Web Design, Bootstrap (Front-End Framework), Front-End Web Development, Web Design, Hypertext Markup Language (HTML), Browser Compatibility, Web Design and Development, Web Development, JSON, Web Applications, Scripting, Usability, Cross Platform Development, Object Oriented Programming (OOP), Event-Driven Programming, User Interface and User Experience (UI/UX) Design",0,0,Beginner ? Specialization ? 1 - 3 Months
12,Web Development Fundamentals,Illinois Tech," Javascript and jQuery, Responsive Web Design, Web Development, Version Control, Web Design, Cascading Style Sheets (CSS), HTML and CSS, GitHub, Web Applications, JavaScript Frameworks, Web Development Tools, Infrastructure Architecture, Browser Compatibility, Application Programming Interface (API), Animations",0,0,Beginner ? Course ? 1 - 3 Months
13,"HTML, CSS, and Javascript for Web Developers",Coursera Project Network," Cascading Style Sheets (CSS), Hypertext Markup Language (HTML), Web Development, HTML and CSS, Web Design and Development, Javascript, Front-End Web Development, Web Content, Responsive Web Design, Web Design",0,0,Intermediate ? Guided Project ? Less Than 2 Hours
14,IBM Full Stack Software Developer,Meta," Jest (JavaScript Testing Framework), Django (Web Framework), Version Control, Restful API, Responsive Web Design, Unix Commands, HTML and CSS, Git (Version Control System), GitHub, Relational Databases, Object Oriented Programming (OOP), Database Management Systems, Bootstrap (Front-End Framework), React.js, Mobile Development, SQL, Database Design, API Design, Linux Commands, Python Programming",0,0,Beginner ? Specialization ? 3 - 6 Months
15,"HTML, CSS, and Javascript for Web Developers",IBM," Hypertext Markup Language (HTML), HTML and CSS, Web Development, Web Development Tools, Cascading Style Sheets (CSS), Front-End Web Development, Web Design, Javascript, Interactive Design, Web Applications, Full-Stack Web Development, Back-End Web Development",0,0,Beginner ? Course ? 1 - 3 Months
16,"Build a Portfolio Website with HTML, CSS, and JavaScript",Meta," Responsive Web Design, HTML and CSS, Bootstrap (Front-End Framework), Debugging, Front-End Web Development, Semantic Web, Browser Compatibility, Web Development, Web Content Accessibility Guidelines, User Interface (UI), Data Validation, Javascript, Animations",0,0,Beginner ? Course ? 1 - 4 Weeks
17,HTML and CSS in depth,Coursera Project Network," WordPress, Content Management Systems, Web Content, Web Design and Development, Web Design, Web Development, Blogs, Content Development and Management, Social Media, Marketing, Design, Computer Science",0,0,Advanced ? Guided Project ? Less Than 2 Hours
18,Microsoft Full-Stack Developer,IBM," Bootstrap (Front-End Framework), Software Development Life Cycle, Software Architecture, User Centered Design, Cloud-Native Computing, React Redux, NoSQL, Git (Version Control System), GitHub, Webpack, Application Development, MongoDB, React.js, Cascading Style Sheets (CSS), Agile Methodology, Software Design, Front-End Web Development, Browser Compatibility, HTML and CSS, Software Development",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
19,Meta Back-End Developer,Johns Hopkins University," HTML and CSS, Javascript, Responsive Web Design, Ajax, Front-End Web Development, Web Design, Web Applications, Hypertext Markup Language (HTML), Browser Compatibility, Web Development, Cascading Style Sheets (CSS), Usability, Cross Platform Development",0,0,Mixed ? Course ? 1 - 4 Weeks
20,IBM Front-End Developer,Coursera Project Network," JSON, Restful API, HTML and CSS, Web Design, Cloud API, Web Development, Application Programming Interface (API), Web Applications, Responsive Web Design, Real Time Data, Javascript",0,0,Intermediate ? Guided Project ? Less Than 2 Hours
21,Build a Full Website using WordPress,Microsoft," CI/CD, GitHub, C# (Programming Language), HTML and CSS, Load Balancing, Continuous Integration, Git (Version Control System), Role-Based Access Control (RBAC), Scalability, Object Oriented Programming (OOP), Authentications, ASP.NET, Full-Stack Web Development, Web Development, Debugging, SQL, Application Deployment, Microsoft Copilot, .NET Framework, Graph Theory",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
22,IBM Full-Stack JavaScript Developer,IBM," Istio, Node.JS, Software Development Life Cycle, Software Architecture, Server Side, MongoDB, Application Deployment, CI/CD, Cloud-Native Computing, React Redux, NoSQL, Kubernetes, Restful API, OpenShift, Git (Version Control System), Cascading Style Sheets (CSS), Ajax, Javascript, Azure DevOps, Software Development",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
23,"Build a Website using an API with HTML, JavaScript, and JSON",Meta," Django (Web Framework), Full-Stack Web Development, Version Control, Restful API, Data Structures, Unix Commands, Bootstrap (Front-End Framework), Git (Version Control System), Back-End Web Development, GitHub, Web Design and Development, Relational Databases, Front-End Web Development, Object Oriented Programming (OOP), Database Management Systems, SQL, Database Design, Python Programming, Computer Programming, Cloud Hosting",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
24,Meta Web Development Fundamentals,Meta," Django (Web Framework), Responsive Web Design, HTML and CSS, Back-End Web Development, Relational Databases, Object Oriented Programming (OOP), Database Management Systems, Bootstrap (Front-End Framework), SQL, Database Design, Databases, Front-End Web Development, Database Administration, Unit Testing, MySQL, Debugging, Web Development, Computer Programming, Pseudocode, Communication",0,0,Beginner ? Specialization ? 3 - 6 Months
25,Java FullStack Developer,Board Infinity," Model View Controller, PHP (Scripting Language), Responsive Web Design, Server Side, User Interface (UI) Design, Node.JS, Front-End Web Development, MongoDB, Web Development Tools, HTML and CSS, Package and Software Management, React.js, Restful API, Web Design and Development, Javascript, Bootstrap (Front-End Framework), Back-End Web Development, Full-Stack Web Development, Object-Relational Mapping, Web Development",0,0,Beginner ? Specialization ? 1 - 3 Months
26,Web Development with Python,Microsoft," Web Development, Flask (Web Framework), Restful API, Selenium (Software), Front-End Web Development, Web Applications, Full-Stack Web Development, Secure Coding, Object-Relational Mapping, JavaScript Frameworks, Application Security, Application Deployment, Cloud Applications, HTML and CSS, Back-End Web Development, Databases, Application Programming Interface (API), Microsoft Azure, Vue.JS, Collaboration",0,0,Beginner ? Course ? 1 - 3 Months
27,"Full-Stack Web Development: PHP, HTML, CSS & JavaScript",Board Infinity," Angular, Web Applications, HTML and CSS, Web Development, Eclipse (Software), JavaScript Frameworks, Spring Boot, Object Oriented Programming (OOP), Restful API, Java Programming, Model View Controller, Object Oriented Design, Hypertext Markup Language (HTML), Front-End Web Development, Software Development Tools, Spring Framework, Java, Web Services, Cascading Style Sheets (CSS), Javascript",0,0,Intermediate ? Specialization ? 1 - 3 Months
28,Build a free website with WordPress,Coursera Project Network," WordPress, Content Management, Web Content, Web Design and Development, Content Creation, Creativity",0,0,Intermediate ? Guided Project ? Less Than 2 Hours
29,JavaScript for Web Development,Board Infinity," Responsive Web Design, Storyboarding, Wireframing, User Experience Design, UI/UX Research, Usability Testing, Information Architecture, Presentations, User Research, Figma (Design Software), Design Reviews, Persona (User Experience), Web Content Accessibility Guidelines, Mobile Development, User Story, Cross Platform Development, Data Ethics, Usability, Interviewing Skills, Applicant Tracking Systems",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
30,IBM DevOps and Software Engineering,IBM," Responsive Web Design, Color Theory, Version Control, Typography, HTML and CSS, Cascading Style Sheets (CSS), Hypertext Markup Language (HTML), GitHub, Git (Version Control System), Web Design, Web Design and Development, Web Development, Web Content Accessibility Guidelines, Front-End Web Development, Application Deployment, Web Applications, Design Elements And Principles, Animations, Web Content, User Interface (UI) Design",0,0,Beginner ? Specialization ? 3 - 6 Months
31,IBM AI Developer,IBM," Data Storytelling, Search Engine Marketing, Media Planning, Social Media Marketing, Google Ads, Email Marketing, Social Media Strategy, Search Engine Optimization, Order Fulfillment, Social Media Management, Performance Measurement, Spreadsheet Software, A/B Testing, Customer Retention, E-Commerce, Campaign Management, Loyalty Programs, Marketing, Interviewing Skills, Applicant Tracking Systems",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
32,The Full Stack,Meta," Full-Stack Web Development, Front-End Web Development, Django (Web Framework), Scalability, Responsive Web Design, Web Applications, Back-End Web Development, MySQL, Cascading Style Sheets (CSS), Hypertext Markup Language (HTML), Cloud Computing, Application Programming Interface (API), Virtual Environment, Javascript",0,0,Intermediate ? Course ? 1 - 3 Months
33,IBM Back-End Development,IBM," Database Design, SQL, MySQL, PHP (Scripting Language), Relational Databases, JSON, jQuery, Hypertext Markup Language (HTML), Javascript and jQuery, Ajax, Databases, Data Modeling, Database Application, Database Development, Debugging, Web Applications, Object Oriented Programming (OOP), Web Development, Authentications, Javascript",0,0,Intermediate ? Specialization ? 3 - 6 Months
34,Google UX Design,Google," Computer Vision, Deep Learning, Image Analysis, Natural Language Processing, Artificial Neural Networks, Tensorflow, Supervised Learning, Large Language Modeling, Artificial Intelligence and Machine Learning (AI/ML), Artificial Intelligence, Applied Machine Learning, PyTorch (Machine Learning Library), Machine Learning, Debugging, Performance Tuning, Keras (Neural Network Library), Python Programming, Machine Learning Algorithms, Analysis, Data Processing",0,0,Intermediate ? Specialization ? 3 - 6 Months
35,Web Development for Beginners,"University of California, Davis"," English Language, Vocabulary, Writing, Business Writing, Interviewing Skills, Verbal Communication Skills, Business Correspondence, Social Skills, Professional Networking, Business Communication, Communication",0,0,Mixed ? Course ? 1 - 3 Months
36,Modern Web Development Specialization,EDUCBA," Javascript and jQuery, jQuery, Javascript, Interactive Design, HTML and CSS, Web Design and Development, User Interface (UI), Event-Driven Programming, Web Development Tools, Scripting, Scripting Languages, Programming Principles, Debugging",0,0,Intermediate ? Course ? 1 - 4 Weeks
37,Modern Web Development Specialization,EDUCBA," Restful API, CI/CD, Model View Controller, ASP.NET, Cloud Infrastructure, Continuous Deployment, Load Balancing, OAuth, Continuous Integration, Cloud Computing, Cloud Applications, Application Deployment, Cloud Computing Architecture, Cloud Platforms, Infrastructure As A Service (IaaS), Web Development, Web Applications, Application Performance Management, Microservices, Secure Coding",0,0,Mixed ? Course ? 1 - 3 Months
38,IBM DevOps and Software Engineering,IBM," User Story, CI/CD, Istio, Open Web Application Security Project (OWASP), Continuous Integration, Software Development Life Cycle, Software Architecture, Linux Commands, Cloud Computing Architecture, Application Deployment, Test Driven Development (TDD), Gherkin (Scripting Language), Jenkins, Restful API, Git (Version Control System), DevOps, Jupyter, Grafana, Software Engineering, Application Development",0,0,Intermediate ? Specialization ? 3 - 6 Months
39,IBM Back-End Development,IBM," Istio, Open Web Application Security Project (OWASP), Software Development Life Cycle, Software Architecture, Linux Commands, Application Deployment, NoSQL, Kubernetes, Bash (Scripting Language), MongoDB, Restful API, Shell Script, Django (Web Framework), Object-Relational Mapping, OpenShift, Git (Version Control System), Jupyter, Grafana, Microservices, Python Programming",0,0,Beginner ? Specialization ? 1 - 3 Months
40,AWS Fundamentals,Amazon Web Services," AWS Identity and Access Management (IAM), Amazon CloudWatch, Amazon DynamoDB, Amazon Web Services, Serverless Computing, Cloud Computing, Amazon S3, Scalability, Amazon Elastic Compute Cloud, Event-Driven Programming, Solution Architecture, Cloud Computing Architecture, Data Migration, Cloud Storage, Software Architecture, API Gateway, Cloud Management, Cloud Infrastructure, Cloud Security, Data Import/Export",0,0,Intermediate ? Specialization ? 3 - 6 Months
41,IBM AI Developer,IBM," Prompt Engineering, Software Development Life Cycle, Software Architecture, Large Language Modeling, Restful API, ChatGPT, Flask (Web Framework), Generative AI, Cascading Style Sheets (CSS), Software Design, Jupyter, Scrum (Software Development), Application Deployment, Bootstrap (Front-End Framework), Software Engineering, Software Design Patterns, Python Programming, Software Development, Machine Learning, Data Science",0,0,Beginner ? Specialization ? 3 - 6 Months
42,Software Development Lifecycle,University of Minnesota," User Story, Agile Software Development, Software Design Patterns, Design Thinking, Software Development Methodologies, Software Design, Agile Methodology, Agile Project Management, Process Mapping, Software Engineering, Kanban Principles, Software Development Life Cycle, Software Quality Assurance, Application Security, Scrum (Software Development), Object Oriented Design, Software Architecture, User Experience Design, Software Quality (SQA/SQC), Requirements Analysis",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
43,Applied Software Engineering Fundamentals,IBM," Software Development Life Cycle, Software Architecture, Linux Commands, Bash (Scripting Language), Restful API, Shell Script, Git (Version Control System), GitHub, Flask (Web Framework), Software Design, Version Control, File Management, Jupyter, Unix Shell, Scrum (Software Development), Application Deployment, Software Engineering, Linux, Python Programming, Data Structures",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
44, Use Canva to Create Desktop and Mobile-friendly Web Pages.,Coursera Project Network," Canva (Software), Web Design and Development, Web Applications, Web Content, Digital Publishing, Graphic and Visual Design Software, Visual Design, Social Media, Graphic Design, User Accounts, Business",0,0,Beginner ? Guided Project ? Less Than 2 Hours
45,Django Web Framework ,Meta," Django (Web Framework), Web Development, Web Servers, Web Applications, Data Modeling, Back-End Web Development, MySQL, Application Security, Database Development, Application Frameworks, Database Management, Hypertext Markup Language (HTML)",0,0,Beginner ? Course ? 1 - 3 Months
46,IBM Generative AI Engineering,IBM," Prompt Engineering, Large Language Modeling, Predictive Modeling, Unsupervised Learning, PyTorch (Machine Learning Library), Generative AI, Restful API, Keras (Neural Network Library), ChatGPT, Supervised Learning, Exploratory Data Analysis, Flask (Web Framework), Data Wrangling, Data Analysis, Jupyter, Regression Analysis, Deep Learning, Scikit Learn (Machine Learning Library), Application Deployment, Applied Machine Learning",0,0,Beginner ? Course ? 1 - 4 Weeks
47,How to Get Into Web Development,University of Leeds," Web Design and Development, Web Development, Web Content Accessibility Guidelines, Web Design, Hypertext Markup Language (HTML), Front-End Web Development, Full-Stack Web Development, Data Security, Web Content, Back-End Web Development, Program Development, Cascading Style Sheets (CSS), Javascript, Information Privacy, Computer Architecture",0,0,Beginner ? Course ? 1 - 4 Weeks
48,Getting Started with Front-End and Web Development,IBM," Application Development, User Interface and User Experience (UI/UX) Design, Web Design and Development, Front-End Web Development, WordPress, Web Applications, Web Development, Full-Stack Web Development, Back-End Web Development, Content Management Systems, Responsive Web Design",0,0,Beginner ? Course ? 1 - 3 Months
49,Introduction to Modern Web Development with ASP.NET Core,EDUCBA," Web Scraping, JSON, Network Protocols, Web Services, Restful API, Application Programming Interface (API), Extensible Markup Language (XML), Data Import/Export, Data Access, TCP/IP, Python Programming, Scripting, Hypertext Markup Language (HTML), Data Capture, Text Mining",0,0,Beginner ? Course ? 1 - 3 Months
50,IBM Data Analyst,IBM," Learning Strategies, Lifelong Learning, Time Management, Willingness To Learn, Productivity, Creativity, Self-Discipline, Stress Management, Self-Awareness, Adaptability",0,0,Beginner ? Course ? 1 - 4 Weeks
51,Using Python to Access Web Data,University of Michigan," Systems Thinking, Strategic Leadership, Leadership, Team Leadership, Team Building, Professional Development, Team Management, Leadership and Management, Action Oriented, Visionary, Time Management, Prioritization, Complex Problem Solving, Emotional Intelligence, Personal Development, Self-Awareness, Goal Setting, Communication",0,0,Intermediate ? Course ? 1 - 3 Months
52,Learning How to Learn: Powerful mental tools to help you master tough subjects,Deep Teaching Solutions," Positive Behavior Support, Goal Setting, Resilience, Self-Awareness, Behavioral Economics, Mental Health, Productivity, Psychology, Social Skills, Mindfulness",0,0,Mixed ? Course ? 1 - 3 Months
53,Connected Leadership,Yale University," Android Studio, Android Development, Storyboarding, Mobile Development, Application Development, Java, User Interface (UI) Design, Software Design, Interactive Design, Development Environment, Software Installation, User Centered Design",0,0,Beginner ? Specialization ? 1 - 3 Months
54,Build Your First Android App (Project-Centered Course),CentraleSup?lec," Angular, HTML and CSS, Cascading Style Sheets (CSS), Hypertext Markup Language (HTML), Responsive Web Design, React.js, UI Components, Bootstrap (Front-End Framework), React Redux, Web Design and Development, Web Content Accessibility Guidelines, Front-End Web Development, Web Design, JavaScript Frameworks, Browser Compatibility, Javascript and jQuery, User Interface (UI), Web Development Tools, Web Analytics and SEO, Web Applications",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
55,The Science of Well-Being,Yale University," Quality Management, Project Management Life Cycle, Requirements Analysis, Project Scoping, Project Closure, Project Management, Project Planning, Agile Project Management, Continuous Improvement Process, Project Controls, Backlogs, Stakeholder Communications, Milestones (Project Management), Quality Assessment, Team Management, Agile Methodology, Project Documentation, Change Management, Interviewing Skills, Applicant Tracking Systems",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
56,Modern Web Development: Advanced HTML & CSS,Board Infinity," Data Storytelling, Search Engine Marketing, Media Planning, Social Media Marketing, Google Ads, Email Marketing, Social Media Strategy, Search Engine Optimization, Order Fulfillment, Social Media Management, Performance Measurement, Spreadsheet Software, A/B Testing, Customer Retention, E-Commerce, Campaign Management, Loyalty Programs, Marketing, Interviewing Skills, Applicant Tracking Systems",0,0,Intermediate ? Specialization ? 3 - 6 Months
57,Google Project Management:,Google," Blockchain, Test Driven Development (TDD), Cryptography, Application Development, Transaction Processing, Emerging Technologies, Integrated Development Environments, Software Architecture, Network Protocols, Encryption, Web Applications, Program Development, Distributed Computing, Application Programming Interface (API), Microsoft Azure, FinTech, Software Development, Cloud Computing Architecture, Development Environment, Web Development Tools",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
58,Blockchain,University at Buffalo," Dashboard, Data Visualization Software, Data Visualization, SQL, Predictive Modeling, Unsupervised Learning, Plotly, Interactive Data Visualization, Supervised Learning, Exploratory Data Analysis, Jupyter, Data Wrangling, Data Literacy, Data Analysis, Data Mining, Matplotlib, Regression Analysis, Scikit Learn (Machine Learning Library), Generative AI, Professional Networking",0,0,Intermediate ? Specialization ? 3 - 6 Months
59,Business Foundations,University of Pennsylvania," Computer Vision, Deep Learning, Image Analysis, Natural Language Processing, Artificial Neural Networks, Tensorflow, Supervised Learning, Large Language Modeling, Artificial Intelligence and Machine Learning (AI/ML), Artificial Intelligence, Applied Machine Learning, PyTorch (Machine Learning Library), Machine Learning, Debugging, Performance Tuning, Keras (Neural Network Library), Python Programming, Machine Learning Algorithms, Analysis, Data Processing",0,0,Beginner ? Specialization ? 3 - 6 Months
60,"Web Development Mastery: HTML, CSS & JavaScript Fundamentals",Board Infinity," Operations Management, Return On Investment, Operational Efficiency, Financial Statements, Financial Statement Analysis, Finance, Human Capital, Go To Market Strategy, Process Analysis, Branding, Process Management, People Management, Financial Reporting, Capital Budgeting, Financial Accounting, Financial Modeling, Marketing, Marketing Planning, Peer Review, Corporate Finance",0,0,Intermediate ? Specialization ? 3 - 6 Months
61,"Web Development Mastery: HTML, CSS & JavaScript Fundamentals",Northwestern University," Influencing, Persuasive Communication, Design Thinking, Data-Driven Decision-Making, Leadership, Strategic Communication, Innovation, Collaboration, Crisis Management, Negotiation, Organizational Leadership, Ideation, Team Leadership, Resource Allocation, Human Centered Design, Teamwork, Motivational Skills, Corporate Communications, Marketing Strategies, Marketing",0,0,Intermediate ? Specialization ? 3 - 6 Months
62,IBM Data Engineering,University of California San Diego," Clinical Trials, Pharmaceuticals, Clinical Research, Commercialization, Pharmacotherapy, Pharmacology, Regulatory Affairs, Intellectual Property, Portfolio Management, Bioinformatics, New Product Development, Medical Science and Research, Strategic Partnership, Product Marketing, Go To Market Strategy, Health Care Procedure and Regulation, Marketing, Business Strategy, Marketing Strategies, Market Dynamics",0,0,Beginner ? Course ? 1 - 4 Weeks
63,Python for Everybody,University of Michigan," Web Scraping, Data Processing, Relational Databases, Data Visualization, JSON, Database Design, SQL, Network Protocols, Web Services, Restful API, Data Modeling, Programming Principles, Application Programming Interface (API), Database Systems, Database Management, Extensible Markup Language (XML), Data Structures, Data Collection, Computer Programming, Python Programming",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
64,Blockchain Basics,Google," Project Management Life Cycle, Change Management, Organizational Structure, Project Management, Organizational Change, Program Management, Project Closure, Agile Methodology, Project Planning, Waterfall Methodology, Strategic Thinking",0,0,Beginner ? Specialization ? 3 - 6 Months
65,Drug Development Product Management,IBM," Dashboard, Data Visualization Software, Data Visualization, SQL, Predictive Modeling, Unsupervised Learning, Plotly, Interactive Data Visualization, Supervised Learning, Exploratory Data Analysis, Jupyter, Data Wrangling, Data Literacy, Data Analysis, Data Mining, Matplotlib, Regression Analysis, Scikit Learn (Machine Learning Library), Generative AI, Professional Networking",0,0,Beginner ? Specialization ? 3 - 6 Months
66,Foundations of Project Management,Meta," React Native, Android Studio, Restful API, Version Control, UI/UX Research, Usability Testing, Git (Version Control System), Data Structures, Jest (JavaScript Testing Framework), Unix Commands, Android Jetpack, Android Development, Persona (User Experience), GitHub, Interaction Design, Kotlin, User Experience Design, User Interface and User Experience (UI/UX) Design, Mobile Development, Javascript",0,0,Beginner ? Course ? 1 - 4 Weeks
67,Meta Android Developer,University of Virginia," Growth Strategies, Business Strategy, Strategic Thinking, Plan Execution, Mergers & Acquisitions, Competitive Analysis, Organizational Strategy, Business Ethics, Peer Review, Data-Driven Decision-Making, Corporate Strategy, Strategic Decision-Making, Governance, Stakeholder Management, New Business Development, Business Research, Analysis, Project Management, Innovation, Market Analysis",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
68,Business Strategy,University of Colorado System," Unity Engine, Debugging, Object Oriented Programming (OOP), Video Game Development, C# (Programming Language), Game Design, Software Design Patterns, Computer Programming, Event-Driven Programming, Data Structures, Integrated Development Environments, Data Storage, Application Development, Software Design, Program Development, UI Components, Cross Platform Development, Scripting, Data Import/Export, Development Environment",0,0,Beginner ? Specialization ? 3 - 6 Months
69,Key Technologies for Business,Vanderbilt University," Git (Version Control System), JUnit, Android Studio, Android Development, Unit Testing, Maintainability, Software Design Patterns, Test Automation, Object Oriented Programming (OOP), Integration Testing, Test Driven Development (TDD), Mobile Development, Development Testing, Software Testing, Testability, Software Engineering, Secure Coding, Java Programming, Java, Software Design",0,0,Beginner ? Specialization ? 3 - 6 Months
70,Android App Development,Georgia Institute of Technology," Sales Presentation, Presentations, Business Writing, Business Correspondence, Verbal Communication Skills, Public Speaking, Cultural Diversity, Business Communication, Professional Networking, Cultural Sensitivity, Writing, English Language, Vocabulary, Communication, Writing and Editing, Interpersonal Communications, LinkedIn, Grammar, Interviewing Skills, Instagram",0,0,Beginner ? Specialization ? 3 - 6 Months
71,Google IT Support,Meta," React Native, Jest (JavaScript Testing Framework), Version Control, UI/UX Research, Usability Testing, Unix Commands, Restful API, Git (Version Control System), Persona (User Experience), GitHub, Interaction Design, User Experience Design, SQL, User Interface and User Experience (UI/UX) Design, User Interface (UI), User Experience, Mobile Development, React.js, Web Development Tools, Javascript",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
72,Professional Skills for the Workplace,IBM," NoSQL, Data Warehousing, SQL, Apache Hadoop, Extract, Transform, Load, Apache Airflow, Web Scraping, Linux Commands, Database Design, IBM Cognos Analytics, MySQL, Apache Spark, Database Administration, Data Store, Jupyter, Generative AI, Professional Networking, Python Programming, Data Analysis, Data Science",0,0,Beginner ? Specialization ? 3 - 6 Months
73,Meta React Native,"University of California, Davis"," Problem Solving, Active Listening, Growth Mindedness, Adaptability, Emotional Intelligence, Relationship Management, Empathy, Brainstorming, Critical Thinking, Resilience, Social Skills, Communication Strategies, Creative Thinking, Professional Development, Personal Development, Constructive Feedback, Lifelong Learning, Positivity, Overcoming Obstacles, Growth Strategies",0,0,Beginner ? Specialization ? 3 - 6 Months
74,Meta iOS Developer,Meta," React Native, iOS Development, Core Data (Software), Restful API, Version Control, Apple iOS, UI/UX Research, Usability Testing, Apple Xcode, Data Structures, Swift Programming, Jest (JavaScript Testing Framework), User Interface (UI), Unix Commands, Git (Version Control System), Persona (User Experience), GitHub, Interaction Design, Mobile Development, Javascript",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
75,Improve Your English Communication Skills,Google," Computer Networking, Package and Software Management, Network Troubleshooting, Systems Administration, Cloud Infrastructure, IT Infrastructure, Information Systems Security, TCP/IP, Network Security, File Systems, Microsoft Windows, Computer Security, Network Architecture, Application Security, Desktop Support, Computer Hardware, Technical Support, Interviewing Skills, Applicant Tracking Systems, Professional Development",0,0,Beginner ? Specialization ? 3 - 6 Months
76,Full Stack Web Development en Espa?ol,Board Infinity," Responsive Web Design, Database Design, User Interface (UI) Design, API Design, Application Programming Interface (API), Restful API, User Interface and User Experience (UI/UX) Design, MongoDB, HTML and CSS, Javascript, Front-End Web Development, Web Design, GraphQL, React.js, Bootstrap (Front-End Framework), Postman API Platform, Performance Tuning, Authentications, Database Management, OAuth",0,0,Beginner ? Specialization ? 3 - 6 Months
77,Salesforce Sales Development Representative,Google," Responsive Web Design, User Experience Design, Design Reviews, Wireframing, Usability Testing, User Research, User Centered Design, User Interface (UI) Design, Prototyping, Mockups, User Flows, Information Architecture",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
